	cluster	name1
253	1	TCGA-GN-A26D
254	1	TCGA-D3-A2JF
255	1	TCGA-EE-A2GB
256	1	TCGA-EE-A29T
257	5	TCGA-D3-A51G
258	1	TCGA-EE-A2MU
259	1	TCGA-QB-A6FS
260	1	TCGA-WE-AAA4
261	3	TCGA-ER-A19L
262	5	TCGA-WE-A8K6
263	2	TCGA-EB-A550
264	4	TCGA-FS-A1ZF
265	1	TCGA-EB-A430
266	1	TCGA-EE-A2GK
267	7	TCGA-EB-A3Y6
268	1	TCGA-BF-AAP0
269	1	TCGA-Z2-AA3S
270	1	TCGA-EE-A183
271	1	TCGA-EE-A182
272	2	TCGA-EB-A42Z
273	1	TCGA-EE-A2A6
274	2	TCGA-D3-A2JK
275	5	TCGA-DA-A960
276	1	TCGA-BF-AAP4
277	5	TCGA-D3-A8GR
278	1	TCGA-ER-A19B
279	1	TCGA-D3-A8GE
280	1	TCGA-EB-A5KH
281	1	TCGA-W3-AA1R
282	1	TCGA-EE-A2GU
283	1	TCGA-3N-A9WD
284	1	TCGA-D3-A1Q8
285	1	TCGA-DA-A1I5
286	1	TCGA-D3-A2JP
287	3	TCGA-D3-A2JH
288	1	TCGA-EB-A5VV
289	1	TCGA-EB-A82B
290	1	TCGA-HR-A2OG
291	1	TCGA-EE-A17Z
292	3	TCGA-ER-A198
293	1	TCGA-EE-A2MQ
294	1	TCGA-D3-A3CC
295	1	TCGA-D3-A3C3
296	3	TCGA-ER-A2NB
297	1	TCGA-D3-A8GB
298	1	TCGA-EE-A2MG
299	1	TCGA-GF-A4EO
300	1	TCGA-EE-A2M8
301	1	TCGA-FR-A8YE
302	1	TCGA-W3-AA1Q
303	1	TCGA-WE-AAA0
304	2	TCGA-D3-A8GV
305	1	TCGA-EE-A20F
306	1	TCGA-DA-A3F8
307	1	TCGA-W3-A828
308	7	TCGA-EE-A180
309	1	TCGA-D3-A3MU
310	5	TCGA-EE-A2MP
311	3	TCGA-DA-A3F5
312	1	TCGA-ER-A19S
313	1	TCGA-EB-A4IS
314	7	TCGA-EB-A41B
315	1	TCGA-D3-A2JB
316	5	TCGA-EB-A24C
317	5	TCGA-FS-A1YY
318	1	TCGA-D3-A2JL
319	1	TCGA-WE-A8K1
320	1	TCGA-BF-A1PX
321	1	TCGA-D9-A3Z3
322	3	TCGA-FS-A1ZP
323	7	TCGA-GF-A769
324	3	TCGA-FS-A4F9
325	3	TCGA-ER-A19W
326	1	TCGA-D3-A2JE
327	1	TCGA-D3-A8GM
328	1	TCGA-EB-A5SG
329	1	TCGA-EE-A2GI
330	1	TCGA-EE-A2MD
331	3	TCGA-FS-A1ZB
332	5	TCGA-FR-A44A
333	1	TCGA-D3-A8GN
334	7	TCGA-EE-A20C
335	4	TCGA-GN-A8LK
336	5	TCGA-D9-A4Z5
337	6	TCGA-FR-A7U8
338	2	TCGA-EB-A4P0
339	1	TCGA-EB-A44R
340	1	TCGA-ER-A3ET
341	1	TCGA-Z2-A8RT
342	3	TCGA-FR-A3YO
343	3	TCGA-D3-A5GS
344	1	TCGA-D9-A3Z1
345	1	TCGA-EE-A184
346	1	TCGA-EE-A3J3
347	1	TCGA-D9-A6E9
348	1	TCGA-D9-A1JX
349	2	TCGA-YD-A89C
350	1	TCGA-EB-A5UL
351	1	TCGA-D3-A1Q9
352	2	TCGA-ER-A19C
353	3	TCGA-FS-A1ZS
354	1	TCGA-GN-A4U4
355	7	TCGA-ER-A194
356	1	TCGA-EB-A44Q
357	1	TCGA-D3-A8GS
358	1	TCGA-DA-A1HV
359	2	TCGA-EB-A5VU
360	1	TCGA-D3-A1Q7
361	1	TCGA-Z2-AA3V
362	3	TCGA-EE-A29L
363	5	TCGA-DA-A1IA
364	1	TCGA-EE-A2GE
365	1	TCGA-W3-AA21
366	1	TCGA-EE-A29N
367	1	TCGA-D3-A8GC
368	3	TCGA-D3-A8GI
369	3	TCGA-EE-A17Y
370	1	TCGA-D3-A1QA
371	1	TCGA-D3-A2J8
372	1	TCGA-ER-A19N
373	2	TCGA-EB-A42Y
374	1	TCGA-EB-A5SH
375	7	TCGA-GN-A4U5
376	3	TCGA-FR-A7U9
377	5	TCGA-BF-A3DL
378	1	TCGA-D9-A6EA
379	5	TCGA-EE-A2GM
380	5	TCGA-WE-A8K5
381	1	TCGA-EB-A4XL
382	7	TCGA-FS-A1Z3
383	3	TCGA-WE-AAA3
384	7	TCGA-EB-A44O
385	4	TCGA-D3-A5GL
386	1	TCGA-RP-A693
387	3	TCGA-GN-A264
388	3	TCGA-EE-A3J4
389	1	TCGA-YD-A9TB
390	1	TCGA-EB-A1NK
391	1	TCGA-FR-A7UA
392	2	TCGA-BF-A5ES
393	1	TCGA-EB-A6L9
394	1	TCGA-D3-A51N
395	2	TCGA-D3-A5GO
396	1	TCGA-D3-A2J9
397	1	TCGA-DA-A3F3
398	1	TCGA-ER-A19G
399	1	TCGA-D9-A1JW
400	1	TCGA-ER-A2NF
401	5	TCGA-EE-A2GJ
402	1	TCGA-ER-A2NC
403	1	TCGA-EB-A6R0
404	2	TCGA-EB-A431
405	3	TCGA-ER-A19A
406	1	TCGA-EE-A2ML
407	2	TCGA-D9-A4Z3
408	1	TCGA-BF-A1Q0
409	1	TCGA-FS-A1ZZ
410	4	TCGA-FR-A2OS
411	7	TCGA-D3-A8GL
412	7	TCGA-FW-A5DY
413	7	TCGA-EB-A5SF
414	7	TCGA-EE-A181
415	7	TCGA-W3-AA1W
416	7	TCGA-ER-A2NH
417	7	TCGA-EE-A2GL
418	1	TCGA-GF-A6C8
419	3	TCGA-D3-A1Q6
420	1	TCGA-DA-A3F2
421	3	TCGA-EB-A3XC
422	1	TCGA-EE-A29M
423	1	TCGA-D3-A5GN
424	7	TCGA-GN-A26A
425	1	TCGA-RP-A694
426	2	TCGA-FS-A1YX
427	7	TCGA-BF-A3DN
428	1	TCGA-FR-A8YC
429	1	TCGA-D9-A148
430	1	TCGA-ER-A193
431	1	TCGA-GN-A266
432	2	TCGA-EB-A6QY
433	7	TCGA-ER-A19K
434	1	TCGA-ER-A2NG
435	1	TCGA-EB-A553
436	1	TCGA-FS-A1ZH
437	6	TCGA-BF-A1PU
438	7	TCGA-FS-A1ZE
439	1	TCGA-FS-A1Z4
440	1	TCGA-ER-A42L
441	1	TCGA-D3-A8GO
442	4	TCGA-XV-A9VZ
443	5	TCGA-GF-A2C7
444	1	TCGA-EE-A3JE
445	1	TCGA-D3-A3CB
446	1	TCGA-YG-AA3O
